epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,160.371,0.89449,0.38563,1.10915,0.97727,0.96941,0.97072,0.64475,1.38328,0.4652,1.7587,0.00040625,0.00040625,0.00040625
2,253.573,0.92493,0.40023,1.11777,0.93052,0.94872,0.93658,0.57513,1.63266,0.61125,1.98017,0.000806623,0.000806623,0.000806623
3,381.105,0.95682,0.42514,1.11158,0.9521,0.86845,0.87327,0.53452,1.61132,0.67626,2.0233,0.0011905,0.0011905,0.0011905
4,468.433,0.94794,0.44258,1.13296,0.96426,0.9623,0.96655,0.61282,1.42151,0.55003,1.78154,0.00117575,0.00117575,0.00117575
5,555.826,0.94758,0.43348,1.14335,0.95769,0.95179,0.9424,0.62607,1.47254,0.51171,1.83838,0.001151,0.001151,0.001151
6,738.08,0.95411,0.4483,1.13027,0.95764,0.95179,0.9416,0.59588,1.57429,0.55831,1.94175,0.00112625,0.00112625,0.00112625
7,825.916,0.92934,0.42691,1.117,0.96092,0.96964,0.96858,0.63618,1.42101,0.50816,1.77593,0.0011015,0.0011015,0.0011015
8,913.18,0.92355,0.42493,1.10554,0.96981,0.96964,0.974,0.63213,1.42469,0.51266,1.75466,0.00107675,0.00107675,0.00107675
9,1000.93,0.92104,0.42142,1.0986,0.96996,0.96964,0.96412,0.65145,1.3304,0.49616,1.70545,0.001052,0.001052,0.001052
10,1088.38,0.91727,0.41492,1.09673,0.95613,0.95179,0.9501,0.58513,1.62418,0.55572,2.0248,0.00102725,0.00102725,0.00102725
11,1179.97,0.91874,0.42006,1.10511,0.95208,0.95179,0.94392,0.60061,1.61741,0.56867,1.9896,0.0010025,0.0010025,0.0010025
12,1279.09,0.91107,0.40391,1.10895,0.95321,0.95179,0.94281,0.60005,1.55759,0.50511,1.89914,0.00097775,0.00097775,0.00097775
13,1370.75,0.9051,0.40825,1.09377,0.94852,0.95179,0.94784,0.62671,1.473,0.51431,1.83738,0.000953,0.000953,0.000953
14,1457.75,0.92191,0.41801,1.10477,0.9537,0.95179,0.93945,0.64535,1.44455,0.51287,1.79272,0.00092825,0.00092825,0.00092825
15,1544.82,0.9002,0.41617,1.10049,0.95742,0.95179,0.9362,0.62319,1.4467,0.50477,1.75947,0.0009035,0.0009035,0.0009035
16,1697.28,0.90282,0.40205,1.1142,0.95705,0.95179,0.92975,0.62148,1.44777,0.52622,1.7721,0.00087875,0.00087875,0.00087875
17,1809.05,0.95382,0.41097,1.13247,0.97393,0.96964,0.96936,0.65553,1.41449,0.50377,1.76979,0.000854,0.000854,0.000854
18,1894.59,0.91033,0.38846,1.09067,0.93398,0.95179,0.94242,0.64298,1.45964,0.49139,1.81702,0.00082925,0.00082925,0.00082925
19,1980.45,0.92794,0.39977,1.10476,0.95766,0.95179,0.93896,0.61072,1.54119,0.51321,1.88685,0.0008045,0.0008045,0.0008045
20,2067.81,0.89062,0.38614,1.10193,0.97299,0.96964,0.97764,0.6507,1.46049,0.49246,1.83539,0.00077975,0.00077975,0.00077975
21,2154.11,0.93621,0.39666,1.10021,0.94703,0.95179,0.94224,0.63293,1.47548,0.50366,1.7992,0.000755,0.000755,0.000755
